Tiempo_s,Corriente_A,SoC,Voltaje_V,Temperatura_C,Potencia_W,C_rate,Calor_Generado_W,Energia_Wh
0,15.0,0.1,3.345,25.0,50.175000000000004,3.0,3.375,0.0
1,15.0,0.10083333333333334,3.346,25.039865343727854,50.19,3.0,3.375,0.013941666666666666
2,15.0,0.10166666666666668,3.347,25.07957176289265,50.205,3.0,3.375,0.0278875
3,15.0,0.10250000000000002,3.3480000000000003,25.11911989105263,50.220000000000006,3.0,3.375,0.0418375
4,15.0,0.10333333333333336,3.349,25.15851035924032,50.235,3.0,3.375,0.05579166666666667
5,15.0,0.1041666666666667,3.35,25.19774379597262,50.25,3.0,3.375,0.06975
6,15.0,0.10500000000000004,3.351,25.23682082726082,50.265,3.0,3.375,0.08371250000000001
7,15.0,0.10583333333333338,3.3520000000000003,25.275742076620606,50.28,3.0,3.375,0.09767916666666668
8,15.0,0.10666666666666672,3.353,25.31450816508199,50.295,3.0,3.375,0.11165000000000001
9,15.0,0.10750000000000005,3.354,25.35311971119922,50.31,3.0,3.375,0.12562500000000001
10,15.0,0.10833333333333339,3.355,25.39157733106067,50.325,3.0,3.375,0.1396041666666667
11,15.0,0.10916666666666673,3.3560000000000003,25.429881638298646,50.34,3.0,3.375,0.15358750000000004
12,15.0,0.11000000000000007,3.357,25.468033244099193,50.355000000000004,3.0,3.375,0.16757500000000006
13,15.0,0.11083333333333341,3.358,25.506032757211837,50.370000000000005,3.0,3.375,0.18156666666666674
14,15.0,0.11166666666666675,3.359,25.54388078395931,50.385,3.0,3.375,0.19556250000000008
15,15.0,0.11250000000000009,3.3600000000000003,25.58157792824721,50.400000000000006,3.0,3.375,0.2095625000000001
16,15.0,0.11333333333333342,3.361,25.61912479157365,50.415000000000006,3.0,3.375,0.22356666666666677
17,15.0,0.11416666666666676,3.362,25.656521973038853,50.43,3.0,3.375,0.23757500000000012
18,15.0,0.1150000000000001,3.363,25.6937700693547,50.445,3.0,3.375,0.25158750000000013
19,15.0,0.11583333333333344,3.3640000000000003,25.730869674854258,50.46000000000001,3.0,3.375,0.2656041666666668
20,15.0,0.11666666666666678,3.365,25.767821381501278,50.475,3.0,3.375,0.2796250000000001
21,15.0,0.11750000000000012,3.366,25.804625778899617,50.49,3.0,3.375,0.29365000000000013
22,15.0,0.11833333333333346,3.3670000000000004,25.84128345430266,50.50500000000001,3.0,3.375,0.3076791666666668
23,15.0,0.1191666666666668,3.3680000000000003,25.87779499262268,50.52,3.0,3.375,0.3217125000000001
24,15.0,0.12000000000000013,3.369,25.914160976440183,50.535000000000004,3.0,3.375,0.3357500000000001
25,15.0,0.12083333333333347,3.37,25.9503819860132,50.550000000000004,3.0,3.375,0.3497916666666668
26,15.0,0.12166666666666681,3.3710000000000004,25.986458599286532,50.565000000000005,3.0,3.375,0.3638375000000001
27,15.0,0.12250000000000015,3.3720000000000003,26.022391391901,50.580000000000005,3.0,3.375,0.3778875000000001
28,15.0,0.12333333333333349,3.373,26.0581809372026,50.595000000000006,3.0,3.375,0.39194166666666674
29,15.0,0.12416666666666683,3.374,26.093827806251667,50.61,3.0,3.375,0.4060000000000001
30,15.0,0.12500000000000017,3.3750000000000004,26.12933256783199,50.62500000000001,3.0,3.375,0.42006250000000006
31,15.0,0.1258333333333335,3.3760000000000003,26.164695788459877,50.64000000000001,3.0,3.375,0.43412916666666673
32,15.0,0.12666666666666682,3.3770000000000002,26.199918032393196,50.655,3.0,3.375,0.44820000000000004
33,15.0,0.12750000000000014,3.378,26.23499986164039,50.67,3.0,3.375,0.46227500000000005
34,15.0,0.12833333333333347,3.3790000000000004,26.269941835969426,50.68500000000001,3.0,3.375,0.4763541666666667
35,15.0,0.1291666666666668,3.3800000000000003,26.30474451291675,50.7,3.0,3.375,0.4904375
36,15.0,0.13000000000000012,3.3810000000000002,26.339408447796156,50.715,3.0,3.375,0.504525
37,15.0,0.13083333333333344,3.382,26.373934193707672,50.730000000000004,3.0,3.375,0.5186166666666666
38,15.0,0.13166666666666677,3.383,26.408322301546363,50.745,3.0,3.375,0.5327124999999999
39,15.0,0.1325000000000001,3.3840000000000003,26.442573320011142,50.760000000000005,3.0,3.375,0.5468124999999999
40,15.0,0.13333333333333341,3.3850000000000002,26.476687795613508,50.775000000000006,3.0,3.375,0.5609166666666666
41,15.0,0.13416666666666674,3.386,26.510666272686276,50.79,3.0,3.375,0.5750249999999999
42,15.0,0.13500000000000006,3.387,26.544509293392256,50.805,3.0,3.375,0.5891374999999999
43,15.0,0.1358333333333334,3.3880000000000003,26.578217397732914,50.82000000000001,3.0,3.375,0.6032541666666665
44,15.0,0.13666666666666671,3.3890000000000002,26.611791123556976,50.835,3.0,3.375,0.6173749999999999
45,15.0,0.13750000000000004,3.39,26.64523100656902,50.85,3.0,3.375,0.6315
46,15.0,0.13833333333333336,3.391,26.678537580338013,50.865,3.0,3.375,0.6456291666666666
47,15.0,0.1391666666666667,3.392,26.711711376305836,50.879999999999995,3.0,3.375,0.6597624999999999
48,15.0,0.14,3.3930000000000002,26.744752923795758,50.895,3.0,3.375,0.6738999999999999
49,15.0,0.14083333333333334,3.394,26.77766275002088,50.910000000000004,3.0,3.375,0.6880416666666667
50,15.0,0.14166666666666666,3.395,26.810441380092556,50.925,3.0,3.375,0.7021875
51,15.0,0.1425,3.396,26.843089337028758,50.94,3.0,3.375,0.7163375
52,15.0,0.1433333333333333,3.3970000000000002,26.87560714176243,50.955000000000005,3.0,3.375,0.7304916666666667
53,15.0,0.14416666666666664,3.398,26.907995313149804,50.97,3.0,3.375,0.74465
54,15.0,0.14499999999999996,3.399,26.94025436797867,50.985,3.0,3.375,0.7588125
55,15.0,0.1458333333333333,3.4,26.97238482097663,51.0,3.0,3.375,0.7729791666666667
56,15.0,0.1466666666666666,3.4010000000000002,27.004387184819297,51.015,3.0,3.375,0.78715
57,15.0,0.14749999999999994,3.402,27.036261970138497,51.03,3.0,3.375,0.8013250000000001
58,15.0,0.14833333333333326,3.403,27.0680096855304,51.045,3.0,3.375,0.8155041666666667
59,15.0,0.1491666666666666,3.404,27.09963083756363,51.06,3.0,3.375,0.8296875
60,15.0,0.1499999999999999,3.405,27.131125930787377,51.074999999999996,3.0,3.375,0.843875
61,15.0,0.15083333333333324,3.406,27.16249546773941,51.09,3.0,3.375,0.8580666666666668
62,15.0,0.15166666666666656,3.407,27.19373994895413,51.105000000000004,3.0,3.375,0.8722625
63,15.0,0.15249999999999989,3.408,27.224859872970523,51.12,3.0,3.375,0.8864625
64,15.0,0.1533333333333332,3.409,27.25585573634015,51.135,3.0,3.375,0.9006666666666667
65,15.0,0.15416666666666654,3.4099999999999997,27.286728033635036,51.15,3.0,3.375,0.9148750000000001
66,15.0,0.15499999999999986,3.411,27.31747725745559,51.165,3.0,3.375,0.9290875000000001
67,15.0,0.15583333333333318,3.412,27.34810389843845,51.18,3.0,3.375,0.9433041666666667
68,15.0,0.1566666666666665,3.413,27.378608445264305,51.195,3.0,3.375,0.9575250000000001
69,15.0,0.15749999999999983,3.4139999999999997,27.408991384665715,51.209999999999994,3.0,3.375,0.9717500000000001
70,15.0,0.15833333333333316,3.415,27.439253201434855,51.225,3.0,3.375,0.9859791666666667
71,15.0,0.15916666666666648,3.416,27.46939437843126,51.24,3.0,3.375,1.0002125000000002
72,15.0,0.1599999999999998,3.417,27.499415396589534,51.254999999999995,3.0,3.375,1.01445
73,15.0,0.16083333333333313,3.4179999999999997,27.529316734927015,51.269999999999996,3.0,3.375,1.0286916666666668
74,15.0,0.16166666666666646,3.419,27.55909887055142,51.285000000000004,3.0,3.375,1.0429375
75,15.0,0.16249999999999978,3.42,27.58876227866846,51.3,3.0,3.375,1.0571875000000002
76,15.0,0.1633333333333331,3.421,27.618307432589432,51.315,3.0,3.375,1.0714416666666668
77,15.0,0.16416666666666643,3.4219999999999997,27.647734803738746,51.33,3.0,3.375,1.0857
78,15.0,0.16499999999999976,3.4229999999999996,27.677044861661475,51.34499999999999,3.0,3.375,1.0999625000000002
79,15.0,0.16583333333333308,3.424,27.706238074030825,51.36,3.0,3.375,1.1142291666666668
80,15.0,0.1666666666666664,3.425,27.735314906655613,51.375,3.0,3.375,1.1285
81,15.0,0.16749999999999973,3.4259999999999997,27.76427582348769,51.38999999999999,3.0,3.375,1.142775
82,15.0,0.16833333333333306,3.4269999999999996,27.79312128662935,51.404999999999994,3.0,3.375,1.1570541666666667
83,15.0,0.16916666666666638,3.428,27.821851756340696,51.42,3.0,3.375,1.1713375000000001
84,15.0,0.1699999999999997,3.429,27.85046769104699,51.434999999999995,3.0,3.375,1.1856250000000002
85,15.0,0.17083333333333303,3.4299999999999997,27.87896954734597,51.449999999999996,3.0,3.375,1.1999166666666667
86,15.0,0.17166666666666636,3.4309999999999996,27.907357780015126,51.464999999999996,3.0,3.375,1.2142125000000001
87,15.0,0.17249999999999968,3.4319999999999995,27.935632842018965,51.47999999999999,3.0,3.375,1.2285125000000001
88,15.0,0.173333333333333,3.433,27.963795184516233,51.495,3.0,3.375,1.2428166666666667
89,15.0,0.17416666666666633,3.4339999999999997,27.991845256867116,51.51,3.0,3.375,1.257125
90,15.0,0.17499999999999966,3.4349999999999996,28.01978350664041,51.52499999999999,3.0,3.375,1.2714375
91,15.0,0.17583333333333298,3.4359999999999995,28.04761037962067,51.53999999999999,3.0,3.375,1.2857541666666668
92,15.0,0.1766666666666663,3.437,28.07532631981531,51.555,3.0,3.375,1.300075
93,15.0,0.17749999999999963,3.4379999999999997,28.102931769461687,51.56999999999999,3.0,3.375,1.3144
94,15.0,0.17833333333333296,3.4389999999999996,28.130427169034174,51.584999999999994,3.0,3.375,1.3287291666666667
95,15.0,0.17916666666666628,3.4399999999999995,28.15781295725117,51.599999999999994,3.0,3.375,1.3430625
96,15.0,0.1799999999999996,3.4409999999999994,28.185089571082116,51.61499999999999,3.0,3.375,1.3574
97,15.0,0.18083333333333293,3.4419999999999997,28.21225744575445,51.629999999999995,3.0,3.375,1.3717416666666666
98,15.0,0.18166666666666625,3.4429999999999996,28.239317014760566,51.644999999999996,3.0,3.375,1.3860875
99,15.0,0.18249999999999958,3.4439999999999995,28.26626870986473,51.65999999999999,3.0,3.375,1.4004375
100,15.0,0.1833333333333329,3.4449999999999994,28.29311296110995,51.67499999999999,3.0,3.375,1.4147916666666667
101,15.0,0.18416666666666623,3.4459999999999997,28.319850196824873,51.69,3.0,3.375,1.42915
102,15.0,0.18499999999999955,3.4469999999999996,28.346480843630587,51.70499999999999,3.0,3.375,1.4435125
103,15.0,0.18583333333333288,3.4479999999999995,28.37300532644744,51.71999999999999,3.0,3.375,1.4578791666666666
104,15.0,0.1866666666666662,3.4489999999999994,28.399424068501823,51.73499999999999,3.0,3.375,1.4722499999999998
105,15.0,0.18749999999999953,3.4499999999999997,28.42573749133292,51.74999999999999,3.0,3.375,1.4866249999999999
106,15.0,0.18833333333333285,3.4509999999999996,28.451946014799436,51.76499999999999,3.0,3.375,1.5010041666666665
107,15.0,0.18916666666666618,3.4519999999999995,28.478050057086293,51.779999999999994,3.0,3.375,1.5153874999999999
108,15.0,0.1899999999999995,3.4529999999999994,28.5040500347113,51.79499999999999,3.0,3.375,1.5297749999999999
109,15.0,0.19083333333333283,3.4539999999999993,28.529946362531817,51.80999999999999,3.0,3.375,1.5441666666666665
110,15.0,0.19166666666666615,3.4549999999999996,28.555739453751347,51.824999999999996,3.0,3.375,1.5585624999999999
111,15.0,0.19249999999999948,3.4559999999999995,28.581429719926152,51.83999999999999,3.0,3.375,1.5729624999999998
112,15.0,0.1933333333333328,3.4569999999999994,28.607017570971806,51.85499999999999,3.0,3.375,1.5873666666666666
113,15.0,0.19416666666666613,3.4579999999999993,28.63250341516974,51.86999999999999,3.0,3.375,1.601775
114,15.0,0.19499999999999945,3.458999999999999,28.65788765917376,51.88499999999999,3.0,3.375,1.6161874999999999
